Features,Clustering Strategy,Distance Metric,Accuracy,Time
"['sepal length', 'sepal width']",single,Euclidean,0.9666666666666667,0.3444368839263916
"['sepal length', 'sepal width']",single,Manhattan,0.37333333333333335,0.3837318420410156
"['sepal length', 'sepal width']",single,Chebyshev,0.6733333333333333,0.4398467540740967
"['sepal length', 'sepal width']",complete,Euclidean,0.9666666666666667,0.33947205543518066
"['sepal length', 'sepal width']",complete,Manhattan,0.9,0.38625216484069824
"['sepal length', 'sepal width']",complete,Chebyshev,0.9333333333333333,0.4208219051361084
"['sepal length', 'sepal width']",average,Euclidean,0.6066666666666667,0.35414814949035645
"['sepal length', 'sepal width']",average,Manhattan,0.4,0.381572961807251
"['sepal length', 'sepal width']",average,Chebyshev,0.78,0.4174070358276367
"['sepal length', 'petal length']",single,Euclidean,0.6933333333333334,0.34242892265319824
"['sepal length', 'petal length']",single,Manhattan,0.6933333333333334,0.379119873046875
"['sepal length', 'petal length']",single,Chebyshev,0.6933333333333334,0.475477933883667
"['sepal length', 'petal length']",complete,Euclidean,0.7333333333333333,0.34723615646362305
"['sepal length', 'petal length']",complete,Manhattan,0.7666666666666667,0.385667085647583
"['sepal length', 'petal length']",complete,Chebyshev,0.8866666666666667,0.41432809829711914
"['sepal length', 'petal length']",average,Euclidean,0.8666666666666667,0.3717689514160156
"['sepal length', 'petal length']",average,Manhattan,0.94,0.38751697540283203
"['sepal length', 'petal length']",average,Chebyshev,0.8866666666666667,0.4248781204223633
"['sepal length', 'petal width']",single,Euclidean,0.47333333333333333,0.34796595573425293
"['sepal length', 'petal width']",single,Manhattan,0.78,0.38155388832092285
"['sepal length', 'petal width']",single,Chebyshev,0.8133333333333334,0.41812705993652344
"['sepal length', 'petal width']",complete,Euclidean,0.9133333333333333,0.35680580139160156
"['sepal length', 'petal width']",complete,Manhattan,0.6466666666666666,0.38991308212280273
"['sepal length', 'petal width']",complete,Chebyshev,0.4533333333333333,0.4279510974884033
"['sepal length', 'petal width']",average,Euclidean,0.4866666666666667,0.3398900032043457
"['sepal length', 'petal width']",average,Manhattan,0.9466666666666667,0.3735201358795166
"['sepal length', 'petal width']",average,Chebyshev,0.46,0.43292784690856934
"['sepal width', 'petal length']",single,Euclidean,0.8733333333333333,0.35245800018310547
"['sepal width', 'petal length']",single,Manhattan,0.68,0.41100382804870605
"['sepal width', 'petal length']",single,Chebyshev,0.8733333333333333,0.4172379970550537
"['sepal width', 'petal length']",complete,Euclidean,0.8666666666666667,0.34932613372802734
"['sepal width', 'petal length']",complete,Manhattan,0.8666666666666667,0.3799588680267334
"['sepal width', 'petal length']",complete,Chebyshev,0.8733333333333333,0.4196128845214844
"['sepal width', 'petal length']",average,Euclidean,0.86,0.3368399143218994
"['sepal width', 'petal length']",average,Manhattan,0.8666666666666667,0.3774597644805908
"['sepal width', 'petal length']",average,Chebyshev,0.86,0.4295802116394043
"['sepal width', 'petal width']",single,Euclidean,0.66,0.3519327640533447
"['sepal width', 'petal width']",single,Manhattan,0.66,0.39724206924438477
"['sepal width', 'petal width']",single,Chebyshev,0.66,0.41619205474853516
"['sepal width', 'petal width']",complete,Euclidean,0.43333333333333335,0.3998138904571533
"['sepal width', 'petal width']",complete,Manhattan,0.6733333333333333,0.4289720058441162
"['sepal width', 'petal width']",complete,Chebyshev,0.9933333333333333,0.4260752201080322
"['sepal width', 'petal width']",average,Euclidean,0.7933333333333333,0.3359408378601074
"['sepal width', 'petal width']",average,Manhattan,0.44666666666666666,0.38201093673706055
"['sepal width', 'petal width']",average,Chebyshev,0.4666666666666667,0.4206850528717041
"['petal length', 'petal width']",single,Euclidean,0.86,0.35771608352661133
"['petal length', 'petal width']",single,Manhattan,0.7,0.38671016693115234
"['petal length', 'petal width']",single,Chebyshev,0.7066666666666667,0.43227696418762207
"['petal length', 'petal width']",complete,Euclidean,0.86,0.38605785369873047
"['petal length', 'petal width']",complete,Manhattan,0.86,0.3801758289337158
"['petal length', 'petal width']",complete,Chebyshev,0.8,0.4311249256134033
"['petal length', 'petal width']",average,Euclidean,0.8,0.368955135345459
"['petal length', 'petal width']",average,Manhattan,0.8,0.38837289810180664
"['petal length', 'petal width']",average,Chebyshev,0.94,0.496549129486084
