Features,Clustering Strategy,Distance Metric,Accuracy,Time
"['sepal length', 'sepal width']",single,Euclidean,0.9666666666666667,0.33585095405578613
"['sepal length', 'sepal width']",single,Manhattan,0.37333333333333335,0.45498180389404297
"['sepal length', 'sepal width']",single,Chebyshev,0.6733333333333333,0.42391085624694824
"['sepal length', 'sepal width']",complete,Euclidean,0.9666666666666667,0.3835000991821289
"['sepal length', 'sepal width']",complete,Manhattan,0.9,0.392833948135376
"['sepal length', 'sepal width']",complete,Chebyshev,0.9333333333333333,0.43082499504089355
"['sepal length', 'sepal width']",average,Euclidean,0.6066666666666667,0.34247398376464844
"['sepal length', 'sepal width']",average,Manhattan,0.4,0.39209485054016113
"['sepal length', 'sepal width']",average,Chebyshev,0.78,0.43105411529541016
"['sepal length', 'petal length']",single,Euclidean,0.6933333333333334,0.3609950542449951
"['sepal length', 'petal length']",single,Manhattan,0.6933333333333334,0.38016200065612793
"['sepal length', 'petal length']",single,Chebyshev,0.6933333333333334,0.41399693489074707
"['sepal length', 'petal length']",complete,Euclidean,0.7333333333333333,0.4110119342803955
"['sepal length', 'petal length']",complete,Manhattan,0.7666666666666667,0.3891451358795166
"['sepal length', 'petal length']",complete,Chebyshev,0.8866666666666667,0.42760491371154785
"['sepal length', 'petal length']",average,Euclidean,0.8666666666666667,0.37457799911499023
"['sepal length', 'petal length']",average,Manhattan,0.94,0.3860759735107422
"['sepal length', 'petal length']",average,Chebyshev,0.8866666666666667,0.41663694381713867
"['sepal length', 'petal width']",single,Euclidean,0.47333333333333333,0.35703492164611816
"['sepal length', 'petal width']",single,Manhattan,0.78,0.38780999183654785
"['sepal length', 'petal width']",single,Chebyshev,0.8133333333333334,0.4280130863189697
"['sepal length', 'petal width']",complete,Euclidean,0.9133333333333333,0.33434510231018066
"['sepal length', 'petal width']",complete,Manhattan,0.6466666666666666,0.3838977813720703
"['sepal length', 'petal width']",complete,Chebyshev,0.4533333333333333,0.4710991382598877
"['sepal length', 'petal width']",average,Euclidean,0.4866666666666667,0.36809206008911133
"['sepal length', 'petal width']",average,Manhattan,0.9466666666666667,0.39101576805114746
"['sepal length', 'petal width']",average,Chebyshev,0.46,0.429793119430542
"['sepal width', 'petal length']",single,Euclidean,0.8733333333333333,0.37006306648254395
"['sepal width', 'petal length']",single,Manhattan,0.68,0.38976621627807617
"['sepal width', 'petal length']",single,Chebyshev,0.8733333333333333,0.4329409599304199
"['sepal width', 'petal length']",complete,Euclidean,0.8666666666666667,0.3597702980041504
"['sepal width', 'petal length']",complete,Manhattan,0.8666666666666667,0.3908827304840088
"['sepal width', 'petal length']",complete,Chebyshev,0.8733333333333333,0.4373292922973633
"['sepal width', 'petal length']",average,Euclidean,0.86,0.4034290313720703
"['sepal width', 'petal length']",average,Manhattan,0.8666666666666667,0.38746094703674316
"['sepal width', 'petal length']",average,Chebyshev,0.86,0.42992591857910156
"['sepal width', 'petal width']",single,Euclidean,0.66,0.3796360492706299
"['sepal width', 'petal width']",single,Manhattan,0.66,0.3808472156524658
"['sepal width', 'petal width']",single,Chebyshev,0.66,0.44205403327941895
"['sepal width', 'petal width']",complete,Euclidean,0.43333333333333335,0.35108304023742676
"['sepal width', 'petal width']",complete,Manhattan,0.6733333333333333,0.3931260108947754
"['sepal width', 'petal width']",complete,Chebyshev,0.9933333333333333,0.43764686584472656
"['sepal width', 'petal width']",average,Euclidean,0.7933333333333333,0.3970508575439453
"['sepal width', 'petal width']",average,Manhattan,0.44666666666666666,0.47813916206359863
"['sepal width', 'petal width']",average,Chebyshev,0.4666666666666667,0.4257049560546875
"['petal length', 'petal width']",single,Euclidean,0.86,0.37226104736328125
"['petal length', 'petal width']",single,Manhattan,0.7,0.38593268394470215
"['petal length', 'petal width']",single,Chebyshev,0.7066666666666667,0.4227919578552246
"['petal length', 'petal width']",complete,Euclidean,0.86,0.36594176292419434
"['petal length', 'petal width']",complete,Manhattan,0.86,0.39205503463745117
"['petal length', 'petal width']",complete,Chebyshev,0.8,0.4348022937774658
"['petal length', 'petal width']",average,Euclidean,0.8,0.35751771926879883
"['petal length', 'petal width']",average,Manhattan,0.8,0.38840293884277344
"['petal length', 'petal width']",average,Chebyshev,0.94,0.5164668560028076
